ants, TOC
m000, 1052.205
m001, 1051.874
m002, 1052.21
m003, 1051.754
m004, 1051.976
m005, 1052.43
m006, 1052.59
m007, 1053.092
m008, 1053.99
m009, 1053.549
m010, 1054.756
m011, 1053.521
m012, 1053.73
m013, 1054.658
m014, 1054.121
m015, 1053.204
m016, 1053.276
m017, 1052.645
m018, 1053.004
m019, 1053.531
m020, 1053.238
m021, 1051.566
m022, 1050.297
m023, 1049.283
m024, 1048.231
m025, 1048.639
m026, 1050.286
m027, 1051.125
m028, 1051.186
m029, 1051.263
m030, 1050.868
m031, 1051.066
m032, 1050.831
m033, 1048.552
m034, 1052.315
m035, 1053.656
m036, 1054.385
m037, 1055.633
m038, 1055.467
m039, 1055.914
m040, 1055.301
m041, 1053.502
m042, 1051.931
m043, 1048.9
m044, 1043.012
m045, 1043.77
m046, 1036.814
m047, 1051.154
m048, 1035.009
m049, 1047.185
m050, 1048.504
m051, 1050.766
m052, 1054.301
m053, 1058.647
m054, 1057.003
m055, 1053.827
m056, 1050.687
m057, 1033.773
m058, 1041.098
m059, 1056.429
m060, 1068.161
m061, 1065.142
m062, 1065.672
m063, 1060.952
