#name,type,ra,dec
0003-066, radec gaincal, 00:06:14,-06:23:35
0106+013, radec gaincal, 01:08:39,+01:35:00
0130-171, radec gaincal, 01:32:43,-16:54:49
0208-512, radec gaincal, 02:10:46,-51:01:02
0238-084, radec gaincal, 02:41:05,-08:15:21
0252-549, radec gaincal, 02:53:29,-54:41:51
0332-403, radec gaincal, 03:34:14,-40:08:25
0402-362, radec gaincal, 04:03:54,-36:05:02
0420-014, radec gaincal, 04:23:16,-01:20:33
0426-380, radec gaincal, 04:28:40,-37:56:20
0430+052, radec gaincal, 04:33:11,+05:21:16
3C123, radec gaincal, 04:37:04.3750, 29:40:13.820
0451-282, radec gaincal, 04:53:15,-28:07:37
0454-463, radec gaincal, 04:55:51,-46:15:59
0454-234, radec gaincal, 04:57:03,-23:24:52
0458-020, radec gaincal, 05:01:13,-01:59:14
3C138, radec gaincal, 05:21:09.89, 16:38:22.1
0521-365, radec gaincal, 05:22:58,-36:27:31
0537-441, radec gaincal, 05:38:50,-44:05:09
0605-085, radec gaincal, 06:07:60,-08:34:50
0607-157, radec gaincal, 06:09:41,-15:42:41
0637-752, radec gaincal, 06:35:47,-75:16:17
0648-165, radec gaincal, 06:50:25,-16:37:40
0653-033, radec gaincal, 06:56:11,-03:23:07
0723-008, radec gaincal, 07:25:51,-00:54:57
0727-115, radec gaincal, 07:30:19,-11:41:13
0823+033, radec gaincal, 08:25:50,+03:09:25
1055+018, radec gaincal, 10:58:30,+01:33:59
1057-797, radec gaincal, 10:58:43,-80:03:54
1127-145, radec gaincal, 11:30:07,-14:49:27
J1152-0841, radec gaincal, 11:52:17,-08:41:03
3C273, radec gaincal, 12:29:07,+02:03:09
3C279, radec gaincal, 12:56:11,-05:47:22
1322-427, radec gaincal, 13:25:28,-43:01:09
3C286, radec gaincal, 13:31:08.287984, 30:30:32.958850
1334-127, radec gaincal, 13:37:40,-12:57:25
CenB, radec gaincal, 13:46:49.0433, -60:24:29.355
1421-490, radec gaincal, 14:24:32,-49:13:50
1424-418, radec gaincal, 14:27:56,-42:06:19
1510-089, radec gaincal, 15:12:51,-09:05:60
1514-241, radec gaincal, 15:17:42,-24:22:19
1548+056, radec gaincal, 15:50:35,+05:27:10
1613-586, radec gaincal, 16:17:18,-58:48:08
1622-253, radec gaincal, 16:25:47,-25:27:38
1657-261, radec gaincal, 17:00:53,-26:10:52
1718-649, radec gaincal, 17:23:41,-65:00:37
1730-130, radec gaincal, 17:33:03,-13:04:50
1741-038, radec gaincal, 17:43:59,-03:50:05
1749+096, radec gaincal, 17:51:33,+09:39:01
1824-582, radec gaincal, 18:29:12,-58:13:55
1830-210, radec gaincal, 18:33:40,-21:03:40
1908-201, radec gaincal, 19:11:09.652,-20:06:55.10
1920-211, radec gaincal, 19:23:32,-21:04:33
1921-293, radec gaincal, 19:24:51,-29:14:30
1954-388, radec gaincal, 19:57:60,-38:45:06
1958-179, radec gaincal, 20:00:57,-17:48:58
2052-474, radec gaincal, 20:56:16,-47:14:48
2128-123, radec gaincal, 21:31:35.26,-12:07:06.2 
2131-021, radec gaincal, 21:34:10,-01:53:17
2134+004, radec gaincal, 21:36:39,+00:41:54
2145+067, radec gaincal, 21:48:05,+06:57:39
2155-152, radec gaincal, 21:58:06,-15:01:09
2153-699, radec gaincal, 21:57:05.98,-69:41:23.7
2203-188, radec gaincal, 22:06:10,-18:35:39
2223-052, radec gaincal, 22:25:47,-04:57:01
3C446, radec gaincal, 22:25:47,-04:57:01
CTA102, radec gaincal, 22:32:36,+11:43:51
3C454.3,  radec gaincal, 22:53:57.748, +16:08:53.56
2255-282, radec gaincal, 22:58:06,-27:58:21
2355-534, radec gaincal, 23:57:53,-53:11:14
